Name	UBGE	QSRH	JWXT	LBWZ	FLGU
JXUS	70	22	6	1	1
BMBK	88	10	1	0	1
JPSR	73	9	12	1	5
TGJS	5	30	8	53	4
FSSD	50	47	2	0	1
WAQU	39	59	0	0	2
JQFZ	56	36	5	0	3
FNZL	39	8	39	10	4
IDEE	13	63	1	9	14
XAVS	71	25	3	0	1
FGJK	9	14	27	18	32
ARXZ	99	0	0	0	1
GXLG	78	19	2	0	1
OUBO	2	96	0	0	2
REGD	77	7	10	1	5
UVDM	80	1	8	7	4
TCLV	41	36	22	0	1
HTVH	10	73	5	0	12
IOHU	2	12	80	5	1
GHMZ	75	12	10	1	2
JKUY	52	24	22	0	2
FYVA	48	17	2	31	2
MCDG	79	13	5	1	2
DNOD	14	2	44	32	8
XJXS	3	39	29	24	5
PGPB	28	65	3	3	1
FNMQ	36	36	18	7	3
UEUA	94	4	1	0	1
LACC	41	22	34	0	3
PHQN	3	54	14	7	22
CQYQ	54	40	2	1	3
SEYW	63	18	17	1	1
IKQG	79	6	7	6	2
PKAB	93	0	5	0	2
VNXI	87	3	6	2	2
PTKG	43	2	23	3	29
KWFP	92	0	3	3	2
CDAD	85	5	4	3	3
LSBC	58	24	16	0	2
UCRA	91	2	2	2	3
ZYRC	94	0	1	3	2
CEFT	24	39	25	2	10
IWUS	99	0	0	0	1
YDVV	42	24	28	5	1
TMDY	67	11	13	3	6
LIAK	39	10	41	2	8
KLSB	46	36	9	5	4
KWDU	27	33	12	18	10
IJAT	38	47	8	0	7
GLGR	31	6	26	28	9
IOKZ	71	22	2	0	5
YMNU	18	67	1	13	1
ZJCB	15	4	70	7	4
WSVA	41	51	2	1	5
MKLS	5	31	60	2	2
ZYVX	24	57	15	1	3
KHRZ	0	36	39	7	18
RTDA	93	2	3	0	2
DFIU	35	23	39	1	2
KNCF	22	74	1	0	3
WKQD	19	31	15	3	32
UEAH	21	72	4	1	2
ITUB	41	0	3	1	55
IAOM	28	29	2	29	12
JZDN	73	13	11	2	1
XGAE	34	41	11	6	8
XMXL	16	30	38	13	3
JPUE	82	15	2	0	1
CHYF	78	2	17	2	1
XBEE	99	0	0	0	1
OCOV	52	28	11	8	1
HHED	70	20	9	0	1
LQCB	68	7	17	6	2
QCOD	20	42	33	2	3
YCQT	25	74	0	0	1
SZYN	95	3	0	0	2
DCTJ	78	13	0	2	7
KUFL	5	41	42	8	4
KRFP	4	17	62	7	10
UPIS	29	13	48	8	2
ZIZC	79	10	7	1	3
BHJM	80	7	5	2	6
EECH	53	23	4	18	2
HHOF	27	22	1	10	40
YIMT	44	38	17	0	1
YWNT	83	5	7	2	3
DBOC	7	50	14	13	16
DBUM	97	1	0	1	1
GDNM	93	4	2	0	1
GFJR	97	1	0	1	1
RDBF	76	22	0	0	2
YZQK	88	5	6	0	1
VTMR	80	2	8	4	6
FBWW	19	56	12	8	5
YVUV	44	46	0	3	7
ACNY	8	39	32	16	5
IXVF	95	2	0	1	2
RQAS	3	26	15	14	42
MYMB	66	2	31	0	1
TDRS	59	21	6	10	4
LDNH	87	3	7	1	2
RGEU	82	5	4	6	3
XHLE	95	2	0	0	3
YUMV	77	10	12	0	1
HFGY	73	25	0	0	2
FZKK	88	2	1	4	5
VXVI	8	16	62	12	2
AHIB	79	19	1	0	1
HBMP	3	37	1	55	4
WFYZ	14	60	9	12	5
QAZW	65	22	0	1	12
KJXL	60	13	11	4	12
GFCV	67	19	5	3	6
XWLW	23	65	8	1	3
XOLT	91	7	1	0	1
AJFR	47	29	8	8	8
UQSY	59	21	1	0	19
QOZU	19	14	59	4	4
QPOA	87	8	1	1	3
RLVH	37	47	15	0	1
NXCP	13	71	11	1	4
MKDJ	84	11	2	2	1
MRAW	2	30	45	2	21
GHGE	68	24	5	2	1
PRGH	9	27	26	30	8
WDNL	53	0	27	19	1
ZAVS	73	2	7	3	15
FZIW	57	24	13	4	2
THUE	47	9	32	2	10
GFAW	77	4	10	2	7
SHER	95	4	0	0	1
JBBD	98	1	0	0	1
LVSG	23	31	21	19	6
HQLN	8	39	23	0	30
KBEH	37	1	47	11	4
DHVL	11	53	6	21	9
ZRLY	51	15	0	9	25
VKKH	52	28	8	11	1
PBTY	40	57	2	0	1
BXCZ	59	1	26	9	5
LTOK	99	0	0	0	1
BWMZ	62	17	5	8	8
WWVB	86	3	3	0	8
TAXP	20	4	52	18	6
STWU	2	2	89	0	7
ORWO	48	50	1	0	1
QOCS	20	49	24	1	6
LORZ	59	36	4	0	1
ESGX	60	19	11	8	2
YTNF	39	46	8	5	2
GHZR	93	6	0	0	1
YRJM	37	60	1	1	1
UWJU	73	24	2	0	1
AHTM	10	53	29	5	3
AXTH	91	1	0	1	7
DDYY	13	4	37	45	1
GWKN	38	46	0	5	11
IVQQ	21	7	0	25	47
WRMM	21	16	47	9	7
VFQP	95	0	0	4	1
VUGG	18	23	17	10	32
WKZB	55	18	26	0	1
DPCM	59	39	1	0	1
CVSE	11	36	20	9	24
VSUL	86	10	0	2	2
JFQV	23	52	0	9	16
FPMJ	93	3	1	2	1
AFEJ	58	4	5	14	19
ASGW	61	20	3	5	11
LOCK	34	62	3	0	1
UIZN	92	0	2	1	5
IYLR	59	32	8	0	1
BEUO	44	9	36	7	4
LDYK	42	55	1	0	2
LTOH	14	55	16	14	1
JYNR	9	46	34	6	5
OWIE	15	20	63	1	1
NGBU	9	86	4	0	1
KJGW	23	54	2	8	13
QVEN	65	3	19	12	1
JHVP	62	13	22	0	3
TYTX	57	31	10	0	2
BDHS	28	66	2	3	1
TYNI	5	43	49	1	2
RDLU	11	26	47	0	16
MBCH	96	0	3	0	1
XUMN	83	15	1	0	1
XZVR	83	9	0	2	6
AIFL	29	6	18	35	12
KFGF	82	2	14	1	1
CQKG	98	0	1	0	1
MAXD	45	3	11	37	4
YUHQ	99	0	0	0	1
NSDP	63	15	13	7	2
CIPF	14	73	4	5	4
SLYH	19	13	20	15	33
AIHB	83	3	7	4	3
ZPTH	30	69	0	0	1
KCAD	47	52	0	0	1
MSXO	45	18	23	4	10
KUPH	11	50	37	1	1
UWFO	8	3	22	49	18
HWWC	15	13	61	0	11
OGPD	30	68	0	1	1
ZKWN	40	50	9	0	1
DDJP	78	4	17	0	1
LEGP	45	29	4	5	17
YOSW	98	1	0	0	1
QOPR	16	62	7	6	9
XBYA	81	4	3	4	8
GERD	71	18	2	3	6
GQOV	11	7	69	3	10
ONZF	64	11	6	13	6
WUSK	57	6	15	15	7
IJQV	19	36	4	40	1
JDLO	18	40	14	22	6
FRMH	29	1	49	19	2
XYHX	93	5	1	0	1
FWNS	45	0	5	4	46
LZWM	87	9	2	0	2
LXFX	67	5	10	5	13
RSYG	18	14	2	36	30
HJIH	98	1	0	0	1
OKVI	14	18	3	12	53
KXMA	59	38	1	0	2
MEBT	8	78	12	0	2
YIFN	36	14	19	26	5
OAJH	30	5	11	25	29
QTVH	71	0	27	0	2
ZHVU	55	26	2	12	5
MPJV	1	53	37	1	8
NQMP	57	4	28	4	7
APCI	0	63	20	15	2
JVOB	41	34	7	17	1
XQUS	70	10	8	1	11
YRTC	53	17	23	6	1
OKUZ	48	40	8	3	1
BLME	99	0	0	0	1
INRY	30	1	48	14	7
DAKJ	87	5	3	4	1
BRNA	79	6	6	1	8
YYRG	87	3	1	1	8
WVTA	68	27	2	1	2
SDVM	36	22	40	1	1
BMDI	24	58	2	0	16
BOZJ	33	29	30	7	1
XGMB	69	11	6	2	12
DYIR	48	51	0	0	1
ZCFK	10	71	17	0	2
RTYD	88	2	2	2	6
IYPD	87	11	1	0	1
EZEH	44	26	16	1	13
UJJG	21	30	37	1	11
HJKY	43	9	13	32	3
TBJN	39	39	16	0	6
FOGD	61	24	10	0	5
FWJN	82	17	0	0	1
EMVN	50	46	0	3	1
RGOK	11	0	60	4	25
QIAQ	14	54	15	11	6
RFTO	81	14	0	3	2
AKJX	81	3	8	2	6
IGLJ	7	26	4	11	52
FFWN	94	2	3	0	1
AEVH	16	56	4	21	3
DUJS	64	27	2	3	4
TTIW	18	9	43	12	18
DOIP	90	6	3	0	1
QVXR	36	16	5	28	15
COFH	91	3	3	1	2
XLTF	7	85	2	5	1
OLEP	33	38	0	15	14
ZSCV	86	9	0	2	3
QQUQ	89	3	3	3	2
AXSM	85	9	3	2	1
MACY	10	47	14	15	14
NRHF	29	50	11	2	8
JGOL	12	62	25	0	1
YJOK	87	7	4	0	2
EJJW	57	6	14	2	21
IGCF	3	28	33	11	25
JMDP	3	12	49	27	9
AVZS	97	2	0	0	1
ZXAY	34	46	13	1	6
WMDW	59	31	2	5	3
XGBK	42	5	18	1	34
UPVT	18	55	3	9	15
QDGD	26	41	32	0	1
VXTO	1	70	4	6	19
PIVT	83	4	7	5	1
OZDT	88	11	0	0	1
ISGM	53	4	16	9	18
GLPN	33	51	0	1	15
LODW	84	6	5	1	4
OIPH	41	13	34	10	2
XOGH	46	37	12	2	3
XMMK	64	2	19	11	4
ZBII	79	3	6	11	1
DWXF	50	5	41	0	4
RSQU	53	33	8	4	2
VPYJ	92	1	5	0	2
TVIJ	91	3	0	4	2
FIEP	77	11	0	9	3
OLSY	44	44	2	2	8
MOMF	19	78	0	2	1
DLLR	80	11	1	2	6
PWOF	54	0	44	0	2
OEVM	44	43	0	12	1
OBWJ	93	6	0	0	1
HFLI	7	31	61	0	1
ILIO	23	1	53	10	13
PEQB	15	45	20	7	13
JLCT	69	23	2	4	2
IHXI	56	27	4	3	10
EVDZ	43	27	22	4	4
JKTT	27	36	4	25	8
RBZQ	22	18	16	24	20
DQFY	10	31	52	6	1
YJWI	38	32	28	1	1
SOJH	1	56	18	21	4
EDRM	66	20	0	12	2
OPWU	26	58	7	0	9
NUVX	62	30	3	0	5
DBXR	86	0	7	3	4
FJUY	69	12	5	4	10
JYTU	66	4	18	11	1
CJTG	74	13	2	4	7
TMJP	70	10	1	10	9
BIPW	2	47	16	4	31
MNNR	3	58	19	19	1
LZOM	25	22	43	6	4
EKFF	2	71	16	0	11
WFTJ	54	34	10	1	1
BQUF	0	53	16	4	27
ZKDS	79	11	2	5	3
MXSQ	28	8	6	42	16
XNUV	85	2	5	5	3
CXLQ	51	28	14	4	3
ABFQ	59	36	1	1	3
XZWQ	2	26	24	45	3
NBHM	74	13	3	8	2
YKQW	11	58	7	21	3
GCPG	90	4	0	0	6
HMXW	30	55	10	4	1
PNCM	28	12	53	3	4
TJRE	26	25	9	10	30
TYKY	66	3	1	1	29
XHFG	63	16	11	1	9
SUHP	54	34	7	0	5
FCMO	77	21	1	0	1
HQCJ	39	46	2	6	7
MBOA	96	2	1	0	1
VNLL	5	56	28	0	11
IISO	60	19	6	14	1
NHZZ	32	12	42	13	1
QVDM	19	50	2	16	13
FETG	49	15	31	3	2
XCBB	4	56	34	5	1
TPMR	63	32	4	0	1
UNVG	47	11	34	5	3
GDJK	75	1	11	2	11
KICF	14	60	23	0	3
YDTP	13	36	47	1	3
FCLZ	49	32	3	11	5
HIUX	23	34	10	23	10
DHGI	79	15	2	0	4
PTHI	48	11	22	15	4
FAFR	60	18	15	5	2
CKYU	89	0	9	0	2
XALW	16	51	17	7	9
PJKT	34	57	1	0	8
UZSF	23	44	3	20	10
OMFK	81	13	1	2	3
XVLL	80	13	4	1	2
MUBG	6	91	1	0	2
EWAY	31	42	6	6	15
XTIR	38	8	34	18	2
EVVN	42	43	3	1	11
HCTL	53	41	3	1	2
BZGY	67	8	6	5	14
ODOB	37	62	0	0	1
DDBG	14	77	7	0	2
QXQF	86	11	2	0	1
DTQK	88	8	0	3	1
ONZI	21	15	45	5	14
XKIK	81	7	5	1	6
EVHT	63	1	15	15	6
INYQ	35	52	5	3	5
WDRQ	92	4	0	1	3
FIIL	47	19	7	20	7
HMFB	39	29	8	12	12
CFZS	27	5	65	0	3
ZXOR	69	25	1	3	2
QWOI	74	25	0	0	1
HEIW	59	15	0	10	16
WENS	53	22	3	2	20
JFMP	81	10	0	4	5
HOLN	93	6	0	0	1
YZLC	74	2	11	7	6
WEVN	28	36	5	4	27
TLZN	48	36	2	10	4
DVPB	94	3	1	1	1
KKUN	5	5	34	15	41
TXTR	73	14	2	8	3
KHUM	97	0	1	0	2
VSZX	48	22	18	3	9
SXDW	71	17	1	7	4
BSUO	97	1	1	0	1
QVQQ	74	24	1	0	1
UOSI	7	43	38	3	9
HKYV	40	21	2	29	8
FCLH	46	2	13	12	27
SJHR	79	20	0	0	1
ZZBE	90	7	1	1	1
YMHO	54	6	7	8	25
TWLQ	50	33	11	4	2
HJQS	17	9	37	11	26
VFWL	29	64	6	0	1
MWIZ	75	17	6	1	1
EAXY	55	42	0	0	3
HHWN	12	79	3	4	2
ZZTI	27	55	17	0	1
YYDQ	31	48	0	13	8
PBND	21	44	26	7	2
ZODZ	5	34	21	23	17
LNZT	92	3	1	1	3
BAZP	79	12	8	0	1
HFYC	39	15	27	8	11
GXJS	62	37	0	0	1
POFU	71	7	15	0	7
TCCE	58	6	2	13	21
OOSV	41	16	8	6	29
YONA	8	53	31	0	8
FJZG	38	12	43	0	7
NVII	16	34	41	0	9
VZDC	27	72	0	0	1
JAVD	73	17	0	1	9
HAZF	16	68	15	0	1
RRHP	94	5	0	0	1
SKFC	42	41	13	0	4
FQXJ	35	46	5	12	2
TEAD	44	35	19	0	2
ZUKQ	70	17	5	3	5
ZILI	44	53	2	0	1
FTZN	92	4	0	3	1
IKVU	85	13	0	0	2
MFCQ	31	12	29	17	11
GKJB	29	70	0	0	1
KMYS	64	14	1	7	14
ULHH	72	17	6	0	5
FIVG	83	1	3	0	13
FJGN	23	73	2	0	2
ZAJK	94	2	1	0	3
DTWW	91	2	6	0	1
UHVZ	17	15	66	0	2
FXMH	16	47	4	27	6
UYIS	25	17	9	40	9
XTDC	22	29	5	43	1
LPSZ	12	61	4	18	5
BAEA	88	1	10	0	1
QBCZ	90	2	3	2	3
CZCL	5	85	0	8	2
UNWO	86	2	8	0	4
TNRF	7	12	76	3	2
VOME	29	9	4	13	45
FDWD	61	29	7	0	3
YHGJ	30	25	30	6	9
JZGJ	54	7	19	19	1
BJPM	43	52	2	1	2
LQIT	29	39	15	0	17
UNHT	90	5	2	1	2
WZVI	89	7	2	0	2
QXBG	15	21	45	0	19
TOYR	4	90	1	3	2
MGPA	87	9	0	1	3
YDPL	9	21	53	12	5
YGDJ	48	11	34	3	4
VHAI	63	27	4	5	1
VAVR	10	59	5	22	4
WPIA	64	9	24	1	2
UETU	81	15	1	0	3
KBFP	73	19	6	0	2
SRPB	41	6	33	5	15
BGNX	87	10	2	0	1
JMNL	97	1	0	0	2
SNHB	44	32	3	2	19
TDIZ	66	29	0	3	2
OMSO	25	30	18	15	12
ERGG	19	31	11	2	37
NPIX	83	9	6	0	2
DKDT	49	45	5	0	1
KVXM	93	3	3	0	1
DSXT	33	60	6	0	1
XGLC	52	10	32	5	1
RFLW	26	49	1	6	18
VTVJ	48	38	1	12	1
UATD	69	2	4	5	20
MUVG	44	43	12	0	1
ZYVS	12	81	0	3	4
QQYO	6	53	35	1	5
DMHN	44	41	3	7	5
BFJM	83	14	2	0	1
UQKO	90	4	5	0	1
ZHMC	11	51	5	29	4
YRCY	50	22	20	1	7
RGQX	54	26	12	6	2
UXTK	18	25	15	29	13
QKOD	24	13	30	16	17
BMOE	71	25	2	0	2
XDWR	79	19	0	0	2
RRHF	81	13	4	1	1
KKIC	91	5	3	0	1
TDVC	3	43	4	46	4
KLNB	43	33	21	2	1
BDMO	89	3	5	1	2
TYUH	54	19	11	4	12
DKXR	12	22	23	9	34
PJUK	22	53	4	16	5
NQBT	10	40	29	10	11
LMIC	65	27	3	4	1
AFXA	67	7	14	9	3
UHYN	46	15	4	2	33
TZUX	37	41	4	12	6
ULFQ	91	2	3	3	1
ZVKA	79	3	2	4	12
BFYV	50	3	0	7	40
JGJR	0	45	33	7	15
ZEGG	3	89	7	0	1
SDNQ	90	0	2	4	4
WNWD	69	11	3	12	5
LBHR	88	10	1	0	1
FBAP	90	8	0	0	2
IKDK	54	16	7	6	17
ZTUM	59	19	14	5	3
ZNVZ	63	8	19	8	2
HZLW	7	62	21	9	1
GSVH	24	61	2	0	13
UARD	11	29	56	3	1
KKPK	6	24	35	3	32
SHCO	94	2	0	1	3
BUGW	65	12	8	2	13
ITFQ	56	23	14	6	1
BRLR	6	28	61	4	1
FSOY	72	17	1	3	7
VJCI	9	7	8	4	72
ALBI	6	82	6	1	5
PCMH	95	2	0	2	1
WGQY	77	9	6	5	3
QVVF	46	20	29	4	1
OKQQ	24	47	27	0	2
EKJQ	14	72	5	2	7
DIMW	42	9	14	20	15
ZJRG	5	31	46	3	15
FNSO	88	7	2	0	3
HHTJ	8	76	8	6	2
KNBD	89	0	5	2	4
CBQW	95	3	0	1	1
RDKP	13	74	5	4	4
VGOD	42	52	3	0	3
VWVN	26	44	9	4	17
ZHLV	98	1	0	0	1
AXSY	44	52	2	1	1
DOHQ	46	22	31	0	1
OMBC	84	12	2	0	2
VEQV	40	34	13	2	11
ZYDN	19	45	25	9	2
FIKS	30	47	16	4	3
IGHM	55	7	28	2	8
HQDG	30	57	1	6	6
BBQN	29	31	39	0	1
UEXN	38	55	5	0	2
LBND	29	2	45	19	5
EXFO	43	24	18	5	10
EVQF	2	20	22	49	7
GHSJ	27	16	48	3	6
WZVG	31	68	0	0	1
KVIK	22	34	24	6	14
PNJO	25	40	4	7	24
UQWZ	32	20	26	21	1
AVSL	61	12	1	4	22
OQVF	86	12	1	0	1
TJTT	86	4	1	2	7
WPMR	10	24	46	2	18
HKJK	74	2	17	2	5
LEAQ	72	25	1	1	1
ZBGY	53	36	1	7	3
RJPA	85	5	0	2	8
XSYM	50	12	3	22	13
QMIR	28	38	20	13	1
FOSB	1	73	15	5	6
HQTJ	51	34	6	0	9
CSSA	99	0	0	0	1
ZPIB	47	21	14	2	16
UQVH	68	1	8	4	19
CLEW	49	36	1	13	1
BGPO	82	10	7	0	1
EYBK	40	30	0	26	4
EQPX	87	1	4	0	8
LNXO	69	15	3	3	10
MKAG	79	18	0	0	3
RMCS	96	3	0	0	1
KHSW	12	20	3	58	7
WOCH	64	14	14	5	3
SVXA	48	41	0	3	8
IJFK	4	63	2	18	13
TIEK	80	7	1	3	9
IDJG	79	0	11	2	8
WLAD	94	4	0	1	1
FLOT	1	65	28	1	5
MNOI	23	19	49	3	6
RRRJ	41	50	4	1	4
VYOP	65	32	1	1	1
FOEJ	82	7	2	6	3
HFTH	46	13	1	24	16
PRMH	9	70	4	6	11
YGYC	12	22	35	16	15
VODR	7	44	25	6	18
LZBF	8	17	63	6	6
XYAZ	46	20	30	1	3
JVLO	46	8	25	0	21
RFLX	12	32	29	3	24
EEVC	70	29	0	0	1
KJEE	24	42	2	14	18
RRIG	4	90	4	0	2
LAOW	74	24	0	1	1
KXUH	53	37	7	1	2
NREC	97	1	1	0	1
DZGL	5	24	4	14	53
JOQR	42	24	0	16	18
YQTJ	75	19	5	0	1
ZYTJ	78	15	2	0	5
GLST	70	29	0	0	1
VPXZ	14	4	78	0	4
RREI	59	17	8	5	11
BJMD	52	33	6	5	4
HOKZ	71	7	16	5	1
EPNE	87	12	0	0	1
ZQSC	53	45	0	1	1
CISI	51	17	20	1	11
DGSO	64	35	0	0	1
XGEZ	90	1	4	0	5
QOEX	97	1	0	0	2
CPWJ	53	20	11	12	4
ZKAQ	25	11	16	47	1
GHEH	79	10	10	0	1
WPSY	20	59	3	14	4
DKMB	12	2	76	4	6
VJAN	13	74	11	0	2
IERR	15	69	8	4	4
RXNY	73	12	9	1	5
FFMW	67	6	22	1	4
KRML	48	21	25	0	6
TFQA	8	44	31	5	12
XWKF	51	46	2	0	1
TUHX	36	62	1	0	1
ILHM	33	4	7	14	42
CNEN	82	10	1	5	2
OEZU	81	12	4	1	2
YDRS	11	79	6	3	1
KOSQ	20	14	64	1	1
TDCA	77	5	9	1	8
QOIE	1	1	27	49	22
TVOF	38	24	5	6	27
WKDH	88	6	3	1	2
FDAR	52	32	10	4	2
PNCO	54	21	19	2	4
GAWK	62	29	3	2	4
ZXDJ	10	21	19	4	46
AYYW	97	1	0	0	2
DWPW	29	41	19	4	7
QTAW	65	5	22	3	5
SRSQ	54	13	19	5	9
FAOP	50	44	2	2	2
VUGT	16	46	2	14	22
GTTJ	21	32	20	23	4
